#{"t_start": 1743951802.0846019, "env_id": "None"}
r,l,t
-13.6,36,190.974034
-10.4,4,213.990997
-10.9,9,256.625718
-10.5,5,283.646049
-10.1,1,292.222626
-12.0,20,396.130418
-10.6,6,433.392528
-10.1,1,441.973545
-11.3,13,514.677778
-10.1,1,523.256632
-10.6,6,551.404134
-12.9,29,722.951109
-11.0,10,785.537904
-11.7,17,877.334674
-15.7,57,1175.098919
-10.4,4,1194.180976
-10.5,5,1218.729921
-10.4,4,1238.282589
-11.4,14,1319.772053
-10.8,8,1361.984444
-10.1,1,1370.581602
-10.4,4,1389.567376
-10.1,1,1398.145911
-10.2,2,1411.749988
-10.1,1,1420.348794
-11.3,13,1480.636887
18.6,14,1557.95014
-10.5,5,1589.134903
-10.1,1,1597.714119
16.8,32,1761.227796
-10.9,9,1807.520751
-10.1,1,1816.117942
-10.7,7,1853.157743
-11.5,15,1923.516678
25.9,41,2129.989687
-10.8,8,2180.310581
-10.1,1,2185.384624
-10.1,1,2190.464128
-10.1,1,2199.06425
-10.3,3,2213.051421
-12.3,23,2344.79246
-10.4,4,2367.921574
-10.1,1,2376.495835
-10.1,1,2385.095257
-12.4,24,2511.921039
-14.4,44,2750.370845
-10.4,4,2769.444437
-10.0,100,3293.329042
18.6,14,3362.693652
-13.8,38,3569.067252
-16.1,61,3870.803655
27.4,26,4016.91048
-10.5,5,4044.562253
18.8,12,4101.652701
-10.8,8,4143.621649
28.8,12,4203.435841
15.4,46,4443.545036
-10.3,3,4458.071099
-10.1,1,4470.083413
-11.5,15,4552.676532
-10.1,1,4561.295488
-13.4,34,4737.397704
-12.8,28,4893.35782
-11.1,11,4949.482102
-11.3,13,5009.726823
-10.0,100,5559.010353
-10.4,4,5581.47655
-10.8,8,5627.105859
28.8,12,5691.374624
18.7,13,5760.017331
-11.2,12,5827.242286
-13.6,36,6008.111261
-11.3,13,6077.92159
-10.1,1,6086.5015
-10.5,5,6114.613018
-18.3,83,6564.234261
29.1,9,6610.418478
-10.2,2,6619.845499
19.0,10,6675.635036
-11.2,12,6743.166242
-10.1,1,6751.746416
-10.8,8,6796.749881
-16.1,61,7109.019128
-10.5,5,7132.112044
-10.1,1,7137.210468
-10.1,1,7145.783807
-10.2,2,7155.781138
-10.8,8,7197.918561
-10.1,1,7203.004894
-12.9,29,7346.199026
-10.1,1,7354.777065
-10.2,2,7364.7757
17.6,24,7500.370548
-10.6,6,7529.266687
-10.1,1,7534.346089
-10.1,1,7542.926305
-10.3,3,7564.929332
-11.3,13,7633.175788
-12.6,26,7774.047701
-13.0,30,7929.26749
-13.3,33,8102.591936
-10.1,1,8111.18978
-20.1,1,8119.772668
-12.4,24,8263.407611
-10.7,7,8300.190657
-10.4,4,8322.250314
-10.4,4,8341.735918
-10.1,1,8350.240145
-12.9,29,8508.397076
-10.1,1,8516.996976
25.9,41,8747.373101
-10.5,5,8775.037103
-10.0,100,9318.836507
28.5,15,9396.616227
-10.8,8,9438.280351
-10.1,1,9446.899941
-10.8,8,9484.563816
-10.2,2,9498.169152
-10.1,1,9506.750399
-11.9,19,9603.095799
-11.0,10,9657.846725
15.4,46,9916.586037
-12.3,23,10032.495045
-10.1,1,10041.094176
-11.5,15,10120.146723
-10.1,1,10128.734439
-10.9,9,10175.516834
-10.8,8,10220.169178
-11.1,11,10271.765202
-11.9,19,10377.03141
-10.4,4,10396.095278
-10.3,3,10414.16884
-10.3,3,10428.612795
-10.1,1,10437.178188
-10.3,3,10455.701439
-10.9,9,10502.56414
-11.8,18,10602.367873
-10.6,6,10638.481994
-11.1,11,10701.885838
-13.6,36,10894.94826
-10.7,7,10931.157738
-11.5,15,11013.926681
-10.2,2,11025.305351
-10.5,5,11052.40075
-11.9,19,11151.951116
15.9,41,11376.898787
-11.9,19,11464.347798
12.6,74,11854.71298
-10.6,6,11890.376597
-10.8,8,11928.360934
-10.1,1,11936.959346
-10.6,6,11965.511594
-10.8,8,12007.835295
-10.1,1,12016.396097
-14.6,46,12243.512905
-10.7,7,12275.568876
-10.3,3,12289.55763
-11.0,10,12347.564925
-12.1,21,12467.656036
-10.3,3,12485.684435
-13.5,35,12673.690284
-12.9,29,12832.506738
-10.8,8,12877.914145
-18.3,83,13297.850098
-10.7,7,13331.35428
-11.8,18,13431.808508
-10.5,5,13462.436961
-10.2,2,13471.910006
-15.8,58,13766.265551
-10.0,100,14282.138447
-14.8,48,14536.349035
-10.8,8,14574.999616
-11.3,13,14636.446357
-10.5,5,14659.975651
-10.2,2,14669.992089
-15.4,54,14962.497048
19.1,9,15009.513804
-11.1,11,15064.518809
-14.5,45,15298.670603
17.9,21,15419.019529
14.9,51,15676.624244
29.0,10,15723.838311
-10.8,8,15760.904909
-10.9,9,15806.54623
-11.6,16,15885.151755
-10.1,1,15893.738266
-10.5,5,15925.175436
-10.4,4,15944.276576
-10.9,9,15991.408602
-10.5,5,16014.49131
-10.4,4,16033.503402
-11.2,12,16093.337306
-10.6,6,16128.961308
-10.7,7,16165.09779
-10.1,1,16170.147129
-10.1,1,16175.247311
-10.1,1,16183.827481
-10.5,5,16215.938898
19.3,7,16253.641421
-14.8,48,16498.812962
-10.1,1,16507.410421
-10.7,7,16540.507096
18.6,14,16605.122105
-10.8,8,16642.171857
-13.5,35,16830.999542
-11.6,16,16907.187377
-10.1,1,16912.266144
-10.7,7,16944.779946
-16.1,61,17264.930835
-10.5,5,17284.455712
18.6,14,17357.919505
-10.6,6,17394.518828
-12.4,24,17518.685488
-11.2,12,17586.460561
-11.9,19,17683.28661
-10.8,8,17721.354131
-10.3,3,17739.414882
-10.6,6,17771.51345
28.9,11,17831.047285
-10.8,8,17866.79602
-11.2,12,17931.278104
13.6,64,18264.074434
-11.6,16,18367.574571
-10.9,9,18410.646233
-10.1,1,18419.235977
-10.6,6,18448.359986
-11.3,13,18516.440931
-10.3,3,18530.436501
-10.8,8,18567.115477
-10.2,2,18580.084237
-10.9,9,18625.661835
-10.6,6,18653.30054
28.4,16,18732.247023
-18.8,88,19188.622898
19.1,9,19237.836298
28.7,13,19306.301375
-11.3,13,19371.021877
-10.3,3,19389.60623
-10.5,5,19417.179067
-14.8,48,19659.019437
-11.4,14,19728.904642
-11.2,12,19792.529298
-10.7,7,19825.994087
-10.0,100,20357.341877
-10.0,100,20845.898924
-10.8,8,20887.050624
-10.1,1,20895.649542
29.2,8,20940.760077
-10.8,8,20982.22213
-10.7,7,21022.746438
-10.1,1,21031.323426
-10.2,2,21040.777036
-13.6,36,21231.394916
-10.7,7,21263.996876
-10.8,8,21313.408044
-10.2,2,21323.241117
-10.8,8,21365.263044
-14.4,44,21587.541454
-11.1,11,21646.366032
